sample,mean_abs,p95_abs,max_abs,l2
84,3.3838343620e-01,1.7685215473e+00,3.6273536682e+01,1.2620203495e+00
85,3.3876323700e-01,1.6950563192e+00,3.5228298187e+01,1.3129632473e+00
86,4.2595866323e-01,2.6722223759e+00,3.0871799469e+01,1.4212603569e+00
87,2.5224137306e-01,1.2202465534e+00,3.1760595322e+01,1.0918040276e+00
88,1.9374601543e-01,7.5226104259e-01,1.0474466324e+01,7.6670247316e-01
89,3.5374239087e-01,1.9849867821e+00,3.4771869659e+01,1.2858041525e+00
90,3.0069595575e-01,1.5189492702e+00,3.7037239075e+01,1.2956755161e+00
91,4.5021912456e-01,2.6237425804e+00,3.5148227692e+01,1.6404390335e+00
92,5.2212196589e-01,2.5146133900e+00,9.7621925354e+01,2.7236361504e+00
93,2.9382872581e-01,1.6982649565e+00,3.2549804688e+01,1.0755023956e+00
94,4.1019740701e-01,2.2790083885e+00,4.1472106934e+01,1.5996444225e+00
95,4.4835400581e-01,2.4649310112e+00,5.8299243927e+01,1.8686070442e+00
